"id";"batch_id";"tahap_saat_ini";"nama";"provinsi";"kabupaten";"kecamatan";"desa";"latitude";"longitude";"penyedia_jasa_konstruksi";"created_at";"updated_at"
"1";NULL;"1";"KNMP Desa Lhok Pawoh";"Aceh";"Aceh Barat Daya";"Manggeng";"Lhok Pawoh";"3.6235025";"96.8960524";"PT. Viola Cipta Mahakarya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"2";NULL;"1";"KNMP Desa Lancok";"Aceh";"Aceh Utara";"Syamtalira Bayu";"Lancok";"5.1395160";"97.1867950";"PT. Viola Cipta Mahakarya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"3";NULL;"1";"KNMP Desa Kuala Raja";"Aceh";"Bireuen";"Kuala";"Kuala Raja";"5.2412800";"96.7150990";"PT. Toleransi Aceh";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"4";NULL;"1";"KNMP Desa Birem Putong";"Aceh";"Kota Langsa";"Langsa Barat";"Birem Putong";"4.5056700";"97.9546650";"PT. Viola Cipta Mahakarya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"5";NULL;"1";"KNMP Desa Merpas";"Bengkulu";"Kaur";"Nasal";"Merpas";"-4.9069360";"103.5348480";"PT. Karsa Prabala";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"6";NULL;"1";"KNMP Desa Penago I";"Bengkulu";"Seluma";"Ilir Talo";"Penago I";"-4.2502330";"102.6680230";"PT. Karsa Prabala";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"7";NULL;"1";"KNMP Desa Sungsang IV";"Sumatera Selatan";"Banyuasin";"Banyuasin II";"Sungsang IV";"-2.3612210";"104.9039050";"PT. Naurah Dinamika Nusantara";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"8";NULL;"1";"KNMP Desa Sukorahayu";"Lampung";"Lampung Timur";"Labuhan Maringgai";"Sukorahayu";"-5.2455190";"105.8467830";"PT. Naurah Dinamika Nusantara";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"9";NULL;"1";"KNMP Desa Ketapang";"Lampung";"Lampung Selatan";"Sragi";"Ketapang";"-5.7412850";"105.7919110";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"10";NULL;"1";"KNMP Desa Bandar Agung";"Lampung";"Lampung Timur";"Pasir Sakti";"Bandar Agung";"-0.4236940";"130.8400830";"PT. Naurah Dinamika Nusantara";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"11";NULL;"1";"KNMP Desa Margasari";"Lampung";"Lampung Timur";"Labuhan Maringgai";"Margasari";"-5.2636110";"105.8588890";"PT. Naurah Dinamika Nusantara";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"12";NULL;"1";"KNMP Desa Sembulang (Tanjung Banun)
";"Kepulauan Riau";"Kota Batam";"Galang";"Sembulang (Tanjung Banun)";"0.8086110";"104.2232780";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"13";NULL;"1";"KNMP Kelurahan Sekanak Raya
";"Kepulauan Riau";"Kota Batam";"Belakang Padang";"Sekanak Raya";"1.1433890";"103.8883890";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"14";NULL;"1";"KNMP Kelurahan Kasu
";"Kepulauan Riau";"Kota Batam";"Belakang Padang";"Kasu";"1.0708060";"103.8257780";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"15";NULL;"1";"KNMP Desa Katapiang
";"Sumatera Barat";"Padang Pariaman";"Ulakan Tapakis";"Katapiang";"-0.2671041";"100.2693629";"PT. Indopenta Bumi Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"16";NULL;"1";"KNMP Kelurahan Padang Sarai
";"Sumatera Barat";"Kota Padang";"Koto Tangah";"Padang Sarai";"-8.1610680";"124.4472590";"PT. Indopenta Bumi Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"17";NULL;"1";"KNMP Desa Wanasari
";"Jawa Barat";"Cianjur";"Agrabinta";"Wanasari";"-0.8109500";"100.2954080";"PT. Tirtha Wandhira Utama";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"18";NULL;"1";"KNMP Desa Karangsari
";"Jawa Barat";"Cianjur";"Agrabinta";"Karangsari";"-7.5832300";"107.6178280";"PT. Wirakarsa Konstruksi";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"19";NULL;"1";"KNMP Desa Gebang Mekar
";"Jawa Barat";"Cirebon";"Gebang";"Gebang Mekar";"-6.8063930";"108.7305250";"PT. Bumi Delta Hatten";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"20";NULL;"1";"KNMP Desa Karangjaladri
";"Jawa Barat";"Pangandaran";"Parigi";"Karangjaladri";"-7.7048160";"108.5029250";"PT. Wirakarsa Konstruksi";"2025-12-01 14:00:07";"2026-05-08 17:42:33"
"21";NULL;"1";"KNMP Desa Cikiruh Wetan
";"Banten";"Pandeglang";"Cikeusik";"Cikiruh Wetan";"-6.8388580";"105.8824590";"PT. Tirtha Wandhira Utama";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"22";NULL;"1";"KNMP Desa Ciwaru
";"Jawa Barat";"Sukabumi";"Ciemas";"Ciwaru";"-7.1878510";"106.4547000";"PT. Bumi Delta Hatten";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"23";NULL;"1";"KNMP Desa Poncosari
";"D.I. Yogyakarta";"Bantul";"Srandakan";"Poncosari";"-7.9605270";"110.2374540";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"24";NULL;"1";"KNMP Desa Banyutowo
";"Jawa Tengah";"Pati";"Dukuhseti";"Banyutowo";"-6.4596860";"111.0477450";"PT. Rukun Jaya Madura Group";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"25";NULL;"1";"KNMP Desa Kertojayan
";"Jawa Tengah";"Purworejo";"Ngombol";"Kertojayan";"-7.8245900";"109.8405360";"PT. Tirai Megah Utama";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"26";NULL;"1";"KNMP Desa Jatimalang
";"Jawa Tengah";"Purworejo";"Grabag";"Jatimalang";"-7.8773590";"109.9858160";"PT. Tirai Megah Utama";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"27";NULL;"1";"KNMP Desa Bumiharjo
";"Jawa Tengah";"Kebumen";"Buayan";"Bumiharjo";"-6.4080560";"110.8369440";"PT. Rukun Jaya Madura Group";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"28";NULL;"1";"KNMP Desa Karangduwur
";"Jawa Tengah";"Kebumen";"Ayah";"Karangduwur";"-7.7242580";"109.5840750";"PT. Rukun Jaya Madura Group";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"29";NULL;"1";"KNMP Desa Bulumeduro
";"Jawa Timur";"Tuban";"Bancar";"Bulumeduro";"-6.7708770";"111.7241510";"PT. Rukun Jaya Madura Group";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"30";NULL;"1";"KNMP Desa PujiHarjo
";"Jawa Timur";"Malang";"Tirtoyudo";"Pujiharjo";"-8.3663040";"112.8811520";"PT. Rukun Jaya Madura Group";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"31";NULL;"1";"KNMP Desa Dapenda
";"Jawa Timur";"Sumenep";"Rubaru";"Dapenda";"-6.9145584";"114.0388159";"CV. Cendana Indah";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"32";NULL;"1";"KNMP Desa Lateng
";"Jawa Timur";"Banyuwangi";"Banyuwangi";"Lateng";"-8.1991580";"114.3777360";"PT. Rukun Jaya Madura Group";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"33";NULL;"1";"KNMP Desa Bilelando
";"Nusa Tenggara Barat";"Lombok Tengah";"Pujut";"Bilelando";"-8.1991580";"114.3777360";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"34";NULL;"1";"KNMP Desa Ekas Buana
";"Nusa Tenggara Barat";"Lombok Timur";"Jerowaru";"Ekas Buana";"-8.8736670";"116.4558120";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"35";NULL;"1";"KNMP Desa Pulau Bungin
";"Nusa Tenggara Barat";"Sumbawa";"Alas";"Pulau Bungin";"-8.4769960";"116.9947680";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"36";NULL;"1";"KNMP Desa Seraya Timur
";"Bali";"Karangasem";"Karangasem";"Seraya Timur";"-8.4115390";"115.6827790";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"37";NULL;"1";"KNMP Desa Warloka Pesisir
";"Nusa Tenggara Timur";"Manggarai Barat";"Komodo";"Warloka Pesisir";"-8.6014640";"119.8069490";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"38";NULL;"1";"KNMP Kelurahan Mudakeputu
";"Nusa Tenggara Timur";"Flores Timur";"Titihena";"Mudakeputu";"-8.2816540";"122.9826170";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"39";NULL;"1";"KNMP Kelurahan Adang
";"Nusa Tenggara Timur";"Alor";"Alor Barat Laut";"Adang";NULL;NULL;"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"40";NULL;"1";"KNMP Desa Sulamu
";"Nusa Tenggara Timur";"Kupang";"Sulamu";"Sulamu";"-10.0166670";"123.6833330";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-05-08 17:42:33"
"41";NULL;"1";"KNMP Desa Tanjung Putri
";"Kalimantan Tengah";"Kotawaringin Barat";"Arut Selatan";"Tanjung Putri";"-2.8748190";"111.4522170";"CV. Clara Benefecia";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"42";NULL;"1";"KNMP Desa Sungai Nyirih
";"Kalimantan Barat";"Mempawah";"Mempawah Hilir";"Sungai Nyirih";"1.0514510";"108.9736260";"PT. Duta Tunggal Jaya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"43";NULL;"1";"KNMP Desa Ujung Said
";"Kalimantan Barat";"Sambas";"Paloh";"Ujung Said";"0.6730049";"112.3798116";"PT. Duta Tunggal Jaya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"44";NULL;"1";"KNMP Desa Babana
";"Sulawesi Barat";"Mamuju Tengah";"Budong-Budong";"Babana";"-4.8290000";"121.8070000";"PT. Aisha Bangun Raya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"45";NULL;"1";"KNMP Desa Sumare
";"Sulawesi Barat";"Mamuju";"Simboro Dan Kepulauan";"Sumare";"-2.6783103";"118.8000651";"PT. Aisha Bangun Raya";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"46";NULL;"1";"KNMP Desa Angkue
";"Sulawesi Selatan";"Pinrang";"Suppa";"Angkue";"-5.0537600";"120.2937440";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"47";NULL;"1";"KNMP Desa Tongke - Tongke
";"Sulawesi Selatan";"Sinjai";"Sinjai Timur";"Tongke - Tongke";"-5.1530837";"120.2551832";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"48";NULL;"1";"KNMP Desa Bentenge
";"Sulawesi Selatan";"Bulukumba";"Ujung Bulu";"Bentenge";"-4.8359708";"119.8207681";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"49";NULL;"1";"KNMP Kelurahan Untia
";"Sulawesi Selatan";"Kota Makassar";"Biring Kanaya";"Untia";"-5.0674550";"119.4811830";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"50";NULL;"1";"KNMP Desa Balangloe Tarowang
";"Sulawesi Selatan";"Jeneponto";"Tarowang";"Balangloe Tarowang";"-5.5909000";"119.8793110";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"51";NULL;"1";"KNMP Desa Aeng Batu-Batu
";"Sulawesi Selatan";"Takalar";"Galesong Utara";"Aeng Batu-Batu";"-5.2341770";"119.3870330";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"52";NULL;"1";"KNMP Desa Banagan
";"Sulawesi Utara";"Bolaang Mongondow";"Lolak";"Banagan";"0.8426000";"120.3353000";"PT. Nila Nasra Nina";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"53";NULL;"1";"KNMP Desa Leato Selatan
";"Gorontalo";"Kota Gorontalo";"Dumbo Raya";"Leato Selatan";"0.4917060";"123.0792980";"PT. Nila Nasra Nina";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"54";NULL;"1";"KNMP Desa Terapung
";"Sulawesi Tenggara";"Buton Tengah";"Mawasangka";"Terapung";"-4.8842270";"121.9396880";"PT. Wirabaya Nusantara Permai lm";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"55";NULL;"1";"KNMP Desa Gerak Makmur
";"Sulawesi Tenggara";"Buton";"Sampolawa";"Gerak Makmur";"-5.6169610";"122.7617790";"PT. Wirabaya Nusantara Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"56";NULL;"1";"KNMP Desa Anaiwoi
";"Sulawesi Tenggara";"Kolaka";"Tanggetada";"Anaiwoi";"-4.3740800";"121.5195100";"PT. Wirabaya Nusantara Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"57";NULL;"1";"KNMP Desa Sorue Jaya
";"Sulawesi Tenggara";"Konawe Selatan";"Laonti";"Sorue Jaya";"-3.9392500";"122.6264170";"PT. Wirabaya Nusantara Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"58";NULL;"1";"KNMP Desa Malalanda
";"Sulawesi Tengah";"Tojo Una-Una";"Ratolindo";"Malalanda";"-4.8420810";"123.1773780";"PT. Wirabaya Nusantara Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"59";NULL;"1";"KNMP Desa Supu
";"Maluku Utara";"Halmahera Barat";"Lolai";"Supu";"2.1826550";"127.9795830";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"60";NULL;"1";"KNMP Desa Sangowo Timur
";"Maluku Utara";"Pulau Morotai";"Morotai Timur";"Sangowo Timur";"2.1050510";"128.5613230";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"61";NULL;"1";"KNMP Desa Wasileo
";"Maluku Utara";"Halmahera Timur";"Maba Utara";"Wasileo";"1.3812123";"128.7504535";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"62";NULL;"1";"KNMP Desa Labetawi
";"Maluku";"Buru";"Namlea";"Labetawi";"-5.5390858";"132.7809639";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"63";NULL;"1";"KNMP Desa Waelihang
";"Maluku";"Buru";"Waplau";"Waelihang";"-3.0584630";"126.7332470";"PT. Adhi Karya (Persero) Tbk.";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"64";NULL;"1";"KNMP Desa Warmasen 
";"Papua Barat";"Manokwari";"Manokwari Barat";"Warmasen";"-0.4223480";"130.8409720";"PT. Artamakmur Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"65";NULL;"1";"KNMP Desa Samkai
";"Papua Selatan";"Merauke";"Merauke";"Samkai";"-8.4964270";"140.3698670";"PT. Artamakmur Permai";"2025-12-01 14:00:07";"2026-04-30 10:54:34"
"109";NULL;"2";"KNMP Desa Ghone Bhalano";"Sulawesi Tenggara";"Buton Tengah";"Wangi-Wangi Selatan";"Ghone Bhalano";NULL;NULL;"PT. Kreasindo Bangun Persada";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"110";NULL;"2";"KNMP Desa Kahyapu";"Maluku";"Maluku Tengah";"Pulau-Pulau Terselatan";"Kahyapu";NULL;NULL;"CV. Putra Diwa Adyatama";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"111";NULL;"2";"KNMP Desa Lamu";"Gorontalo";"Boalemo";"Tilamuta";"Lamu";NULL;NULL;"PT. Bina Mandiri Mukti";"2026-02-07 17:25:48";"2026-05-08 17:42:53"
"112";NULL;"2";"KNMP Desa Pentadu Barat";"Gorontalo";"Boalemo";"Tilamuta";"Pentadu Barat";NULL;NULL;"PT. Bina Mandiri Mukti";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"113";NULL;"2";"KNMP Desa Tolotio";"Gorontalo";"Boalemo";"Dulupi";"Tolotio";NULL;NULL;"CV. Cahaya Lima Mandiri";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"114";NULL;"2";"KNMP Desa Bunyu Selatan";"Kalimantan Utara";"Bulungan";"Bunyu";"Bunyu Selatan";NULL;NULL;"CV. Tiga Dara Indah";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"115";NULL;"2";"KNMP Desa Sungai Padang";"Kepulauan Bangka Belitung";"Belitung";"Sijuk";"Sungai Padang";NULL;NULL;"PT. Sinar Habib Agung Putra";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"116";NULL;"2";"KNMP Desa Tukak";"Kepulauan Bangka Belitung";"Bangka Selatan";"Tukak Sadai";"Tukak";NULL;NULL;"PT. Sinar Habib Agung Putra";"2026-02-07 17:25:48";"2026-05-08 17:51:30"
"117";NULL;"2";"KNMP Desa Cemaga Utara";"Kepulauan Riau";"Natuna";"Bunguran Selatan";"Cemaga Utara";NULL;NULL;"PT. Aset Prima Konstruksi";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"118";NULL;"2";"KNMP Desa Tegineneng";"Lampung";"Pesawaran";"Tegineneng";"Tegineneng";NULL;NULL;"PT. Nara Tunas Karya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"119";NULL;"2";"KNMP Desa Cabang";"Lampung";"Lampung Tengah";"Blambangan Pagar";"Cabang";NULL;NULL;"PT. Nara Tunas Karya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"120";NULL;"2";"KNMP Desa Kunjir";"Lampung";"Lampung Selatan";"Rajabasa";"Kunjir";NULL;NULL;"PT. Nara Tunas Karya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"121";NULL;"2";"KNMP Desa Durian";"Lampung";"Pesawaran";"Padang Cermin";"Durian";NULL;NULL;"PT. Nara Tunas Karya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"122";NULL;"2";"KNMP Desa Maitara Tengah";"Maluku Utara";"Kota Tidore Kepulauan";"Tidore Utara";"Maitara Tengah";NULL;NULL;"PT. Lesindo Bersinar";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"123";NULL;"2";"KNMP Desa Bajo";"Maluku Utara";"Halmahera Selatan";"Botang Lomang";"Bajo";NULL;NULL;"PT. Lesindo Bersinar";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"124";NULL;"2";"KNMP Desa Labuhan Sangoro";"Nusa Tenggara Barat";"Sumbawa";"Maronge";"Labuhan Sangoro";NULL;NULL;"PT. Tolping Jaya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"125";NULL;"2";"KNMP Desa Jala";"Nusa Tenggara Barat";"Dompu";"Hu'u";"Jala";NULL;NULL;"PT. Aulia Berlian Konstruksi";"2026-02-07 17:25:48";"2026-05-08 17:42:53"
"126";NULL;"2";"KNMP Desa Bintaro";"Nusa Tenggara Barat";"Kota Mataram";"Ampenan";"Bintaro";NULL;NULL;"PT. Berkah Rizki Jaya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"127";NULL;"2";"KNMP Desa Kamalaputi";"Nusa Tenggara Timur";"Sumba Timur";"Kota Waingapu";"Kamalaputi";NULL;NULL;"PT. Dewata Teknik";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"128";NULL;"2";"KNMP Desa Kebirangga";"Nusa Tenggara Timur";"Ende";"Nangapanda";"Kebirangga";NULL;NULL;"PT. Sembada Tiga Abadi";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"129";NULL;"2";"KNMP Desa Kaye";"Papua Barat";"Fakfak";"Agats";"Kaye";NULL;NULL;"PT. Zegar Inti Papua";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"130";NULL;"2";"KNMP Desa Pambang Pesisir";"Riau";"Bengkalis";"Bantar";"Pambang Pesisir";NULL;NULL;"CV. Sonta Abadi";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"131";NULL;"2";"KNMP Desa Baurung";"Sulawesi Barat";"Majene";"Banggae Timur";"Baurung";NULL;NULL;"CV. Galung Lombok Indah";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"132";NULL;"2";"KNMP Desa Bambakoro";"Sulawesi Barat";"Mamuju Utara";"Lariang";"Bambakoro";NULL;NULL;"CV. Cakra Mas";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"133";NULL;"2";"KNMP Desa Nisombalia";"Sulawesi Selatan";"Maros";"Marusu";"Nisombalia";NULL;NULL;"PT. Gunung Landoli Jaya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"134";NULL;"2";"KNMP Desa Tanete";"Sulawesi Selatan";"Bulukumba";"Bulukumpa";"Tanete";NULL;NULL;"PT. Gunung Landoli Jaya";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"135";NULL;"2";"KNMP Desa Bolano Tengah";"Sulawesi Tengah";"Parigi Moutong";"Bolano";"Bolano Tengah";NULL;NULL;"PT. Tiga Surya Katulistiwa";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"136";NULL;"2";"KNMP Desa Labuan";"Sulawesi Tengah";"Donggala";"Labuan";"Labuan";NULL;NULL;"CV. Surya Utama";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"137";NULL;"2";"KNMP Desa Kalumbatan";"Sulawesi Tengah";"Banggai Laut";"Banggai Selatan";"Kalumbatan";NULL;NULL;"PT. Bumi Permata Kendari";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"138";NULL;"2";"KNMP Desa Kalupapi";"Sulawesi Tengah";"Banggai Laut";"Banggai Selatan";"Kalupapi";NULL;NULL;"PT. Bumi Permata Kendari";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"139";NULL;"2";"KNMP Desa Momalia II";"Sulawesi Utara";"Bolaang Mongondow Selatan";"Posigadan";"Momalia II";NULL;NULL;"CV. Barlia Citra Mandiri";"2026-02-07 17:25:48";"2026-05-08 17:51:30"
"140";NULL;"2";"KNMP Desa Bagan Kuala";"Sumatera Utara";"Serdang Bedagai";"Tanjung Beringin";"Bagan Kuala";NULL;NULL;"PT Mitra Agung Indonesia CV Baladwipa KSO";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"141";NULL;"2";"KNMP Desa Pematang Sei Baru";"Sumatera Utara";"Asahan";"Tanjung Balai";"Pematang Sei Baru";NULL;NULL;"PT Mitra Agung Indonesia CV Baladwipa KSO";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"142";NULL;"2";"KNMP Desa Perupuk";"Sumatera Utara";"Batu Bara";"Limapuluh Pesisir";"Perupuk";NULL;NULL;"PT Mitra Agung Indonesia CV Baladwipa KSO";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
"143";NULL;"2";"KNMP Desa Kwala Gebang";"Sumatera Utara";"Langkat";"Gebang";"Kwala Gebang";NULL;NULL;"PT Mitra Agung Indonesia CV Baladwipa KSO";"2026-02-07 17:25:48";"2026-05-08 17:42:33"
